Name,Bowler
KL Rahul,No
Rohit Sharma,Yes
Virat Kohli,Yes
Surya Kumar Yadav,No
Hardik Pandya,Yes
Mahendra Singh Dhoni,No
Ashwin,Yes
Bhuvneshwar Kumar,Yes
Mohammad Shami,Yes
Jasprit Bumrah,Yes
Chahal,Yes
