Name,Bowler
Aaron Finch,No
David Warner,No
Camron Green,Yes
Maxwell,Yes
Stoinis,Yes
Wade,No
Tim David,Yes
Pat Cummins,Yes
Mitchell Starc,Yes
Hazelwood,Yes
Zampa,Yes
